"recording.title","recording.artist.credit.phrase","number"
"Just In Case","Jaheim",3
"Just The Two Of Us","Will Smith",3
"Keepin' Up","Alabama",3
"Kiss This","Aaron Tippin",3
"Knock Knock","Monica",3
"Let Me Love You (Mauve mix)","Mario",3
"Let’s Get Dirty","Redman feat. DJ Kool",3
"Like a Pimp","David Banner feat. Lil’ Flip",3
"Little Good-Byes","SHeDAISY",3
"Little Moments","Brad Paisley",3
"Livin' La Vida Loca","Ricky Martin",3
"Living and Living Well","George Strait",3
"Loco","David Lee Murphy",3
"Lonely and Gone","Montgomery Gentry",3
"Loser (live)","3 Doors Down",3
"Love","Musiq Soulchild",3
"Love's Divine","Seal",3
"Love's the Only House","Martina McBride",3
"Love Me Right","Angel City feat. Lara McAllen",3
"Love Me Right (Oh Sheila) (Rezonance Q remix)","Angel City feat. Lara McAllen",3
"Love of My Life (An Ode to Hip Hop)","Erykah Badu feat. Common",3
"Love Song","311",3
"Low","Kelly Clarkson",3
"Make It Clap","Busta Rhymes feat. Spliff Star",3
"Make Me a Song","Kiley Dean",3
"Mambo No. 5 (A Little Bit Of...)","Lou Bega",3
"Me Myself and I","Beyoncé",3
"Meant to Live (remix)","Switchfoot",3
"Meet Virginia (acoustic)","Train",3
"Midwest Swing","St. Lunatics",3
"Monday Morning Church","Alan Jackson",3
"Mr. Mom","Lonestar",3
"Mr. Too Damn Good","Gerald Levert",3
"My Baby You","Marc Anthony",3
"My Next Thirty Years","Tim McGraw",3
"Naggin","Ying Yang Twins",3
"Neva Eva","Trillville",3
"Never","Amanda Perez",3
"Never","The Roc Project feat. Tina Arena",3
"Never (Past Tense)","The Roc Project feat. Tina Arena",3
"No Better Love","Young Gunz feat. Rell",3
"No More (Baby I’Ma Do Right)","3LW",3
"No One’s Gonna Change You","Reina",3
"No Place That Far","Sara Evans",3
"No Problem","Lil' Scrappy",3
"Nobody’s Supposed to Be Here (dance mix)","Deborah Cox",3
"One Call Away","Chingy feat. J. Weav",3
"One Call Away","Chingy feat. J/Weav",3
"Oops","Tweet",3
"Oops!...I Did It Again","Britney Spears",3
"Passenger Seat","SHeDAISY",3
"Perfect","Sara Evans",3
"Perfect (live)","Simple Plan",3
"Pon de River Pon de Bank","Elephant Man",3
"Pon De River, Pon De Bank","Elephant Man",3
"Pop Ya Collar (G4orce Jazz Step vocal)","Usher",3
"Price to Play","Staind",3
"Pushin’ Weight","Ice Cube featuring Mr. Short Khop",3
"Put It on Me","Ja Rule feat. Vita",3
"Put That Woman First (Calibre vocal remix)","Jaheim",3
"Rainy Dayz","Mary J. Blige feat. Ja Rule",3
"Read Your Mind","Avant",3
"Real Good Man","Tim McGraw",3
"Real Live Woman","Trisha Yearwood",3
"Ride Wit Me","Nelly featuring City Spud",3
"Rock Wit U (Aww Baby)","Ashanti",3
"Salt Shaker","Ying Yang Twins feat. Lil Jon & The East Side Boyz",3
"Selfish","Slum Village feat. Kanye West & John Legend",3
"Shake Your Bon-Bon","Ricky Martin",3
"Shape of My Heart","Backstreet Boys",3
"She's My Kind of Rain","Tim McGraw",3
"Simply Being Loved (Somnambulist)","BT",3
"Six-Pack Summer","Phil Vassar",3
"Slow Jamz","Twista feat. Kanye West & Jamie Foxx",3
"Smile","Lonestar",3
"Smile (Maserati mix)","Vitamin C feat. Lady Saw",3
"Smooth","Santana feat. Rob Thomas",3
"Smooth","Santana featuring Rob Thomas",3
"So Fresh So Clean","OutKast",3
"Solitaire","Clay Aiken",3
"Some Cut","Trillville feat. Cutty",3
"Some Things Never Change","Tim McGraw",3
"Someone You Used to Know","Collin Raye",3
"Songs About Rain","Gary Allan",3
"Sorry 2004","Ruben Studdard",3
"Speed","Montgomery Gentry",3
"Stan","Eminem feat. Dido",3
"Stand Beside Me","Jo Dee Messina",3
"Stay the Same","Joey McIntyre",3
"Stays in Mexico","Toby Keith",3
"Step Daddy","Hitman Sammy Sam",3
"Sugarhigh","Jade Anderson",3
"Summer Rain","Carl Thomas",3
"Sunrise","Duran Duran",3
"Sweet Southern Comfort","Buddy Jewell",3
"Swing Swing","The All‐American Rejects",3
"Sympathy for the Devil","Rolling Stones",3
"Talkin' to Me","Amerie",3
"Tell Her","Lonestar",3
"Tell Me","Smilez and Southstar",3
"Thank You (Deep Dish remix)","Dido",3
"That's the Kind of Mood I'm In","Patty Loveless",3
"That's What It's All About","Brooks & Dunn",3
"That’s the Way","Jo Dee Messina",3
"The Best Day","George Strait",3
"The Boys of Summer (demo)","The Ataris",3
"The Next Episode","Dr. Dre feat. Snoop Dogg & Nate Dogg",3
"The Secret of Life","Faith Hill",3
"The World’s Greatest (radio edit)","R. Kelly",3
"Then the Morning Comes","Smash Mouth",3
"Then They Do","Trace Adkins",3
"There You Are","Martina McBride",3
"These Are the Times (Scooterpella mix)","Dru Hill",3
"This Woman’s Work","Maxwell",3
"Tilt Ya Head Back","Nelly feat. Christina Aguilera",3
"Time's Up","Jadakiss feat. Nate Dogg",3
"Travelin’ Soldier","Dixie Chicks",3
"Treat Her Like a Lady","Joe",3
"U Understand","Juvenile",3
"Unconditional","Clay Davidson",3
"Unwell (live acoustic)","Matchbox Twenty",3
"Vitamin R","Chevelle",3
"Walked Outta Heaven (Majiq remix)","Jagged Edge",3
"Wanna Get to Know You","G‐Unit feat. Joe",3
"Wave on Wave","Pat Green",3
"We Thuggin'","Fat Joe feat. R. Kelly",3
"Welcome to Atlanta","Jermaine Dupri feat. Ludacris",3
"Westside Story","The Game feat. 50 Cent",3
"What'd You Come Here For?","Trina & Tamara",3
"What's My Name?","DMX",3
"What's So Different","Ginuwine",3
"What's So Different?","Ginuwine",3
"What's Your Fantasy","Ludacris feat. Shawnna",3
"What It Feels Like for a Girl (Tracy Young club mix)","Madonna",3
"What It Is","Busta Rhymes",3
"What Ya Want","Ruff Ryders feat. Eve & Nokio",3
"What’s So Different?","Ginuwine",3
"Whats Happnin!","Ying Yang Twins feat. Trick Daddy",3
"When God-Fearin' Women Get the Blues","Martina McBride",3
"When I Think About Cheatin'","Gretchen Wilson",3
"When You Need My Love","Darryl Worley",3
"Whenever Wherever","Shakira",3
"Where the Party At (LP mix)","Jagged Edge feat. Nelly",3
"Wherever You Will Go (acoustic)","The Calling",3
"Whiskey Girl","Toby Keith",3
"Whistle While You Twurk","Ying Yang Twins",3
"White Houses","Vanessa Carlton",3
"Who Dat","JT Money feat. Solé",3
"Whoknows","Musiq",3
"Why Don't We Fall in Love","Amerie",3
"Why I Love You","B2K",3
"Work It","Nelly",3
"You're Easy on the Eyes","Terri Clark",3
"You're My Everything","Clair Marlo & Alexander ""Ace"" Baker",3
"You Can't Take the Honky Tonk Out of the Girl","Brooks & Dunn",3
"You Gets No Love","Faith Evans",3
"You Know You’re Right","Nirvana",3
"You Won’t Ever Be Lonely","Andy Griggs",3
"Young'n","Fabolous",3
"Young’n","Fabolous",3
"Your Body Is A Wonderland","John Mayer",3
"Your Everything","Keith Urban",3
"""X""","Xzibit",2
"’03 Bonnie & Clyde","Jay‐Z feat. Beyoncé Knowles",2
"100 Years","Five For Fighting",2
"15 Minutes","Marc Nelson",2
"19 Somethin’","Mark Wills",2
"808 (remix)","Blaque",2
"8th World Wonder","Kimberley Locke",2
"A Few Questions","Clay Walker",2
"A Little Less Conversation (JXL radio edit remix)","Elvis vs. JXL",2
"A Long Walk (A Touch of Jazz remix)","Jill Scott",2
"A Night to Remember","Joe Diffie",2
"Addicted (live)","Simple Plan",2
"Aerials","System Of A Down",2
"After Party (Where da Party At?) (Jay-J & David Harness edit)","Koffee Brown",2
"Ain't It Funny (remix)","Jennifer Lopez feat. Ja Rule",2
"Ain't Nothing 'bout You","Brooks & Dunn",2
"Ain’t Nothing ’bout You","Brooks & Dunn",2
"Ain’t Nothing ’Bout You","Brooks & Dunn",2
"All Falls Down","Kanye West feat. Syleena Johnson",2
"All Falls Down","Kanye West featuring Syleena Johnson",2
"All I Have to Give (a cappella)","Backstreet Boys",2
"All Star (acoustic)","Smash Mouth",2
"Almost Doesn’t Count (Pull mix)","Brandy",2
"Amazing (acoustic version)","Josh Kelley",2
"American Life (Missy Elliott American Dream remix)","Madonna",2
"American Pie (Victor Calderone vocal dub mix)","Madonna",2
"American Soldier","Toby Keith",2
"American Woman (Timbaland remix)","Lenny Kravitz",2
"Angel (Boogieman remix dub)","Lionel Richie",2
"Angel (Seabreeze mix)","Shaggy feat. Rayvon",2
"Any Other Night","Sharissa",2
"Anything","JAY‐Z",2
"Are We Cuttin’","Pastor Troy feat. Ms. Jade",2
"Area Codes","Ludacris & Nate Dogg",2
"Around The World (Acoustic Mix)","ATC",2
"Auld Lang Syne","Kenny G",2
"Away From the Sun (acoustic)","3 Doors Down",2
"Baby Don't Cry","2Pac feat. Outlawz",2
"Baby Don't Cry (Keep Ya Head Up II)","2Pac & Outlawz",2
"Baby Girl","Bon Jovi & Sugarland",2
"Baby, Come Over (This Is Our Night)","Samantha Mumba",2
"Back 2 Good","Matchbox 20",2
"Back at One","Mark Wills",2
"Back At One","Mark Wills",2
"Back at One (remix)","Brian McKnight",2
"Back Here (2001)","BBMak",2
"Back That Thang Up","Juvenile feat. Mannie Fresh & Lil Wayne",2
"Bad Boyz","Shyne feat. Barrington Levy",2
"Bailamos (From ""Wild Wild West"")","Enrique Iglesias",2
"Bailamos (Ospina Club Anthem mix)","Enrique Iglesias",2
"Be Like That (acoustic)","3 Doors Down",2
"Be Like That (American Pie edit)","3 Doors Down",2
"Be With You (Mijango's extended mix)","Enrique Iglesias",2
"Be With You (Thunderpuss 2000 12"" club mix)","Enrique Iglesias",2
"Beautiful (Peter Rauhofer Mixshow)","Christina Aguilera",2
"Beautiful (Peter Rauhofer remix)","Christina Aguilera",2
"Beautiful Stranger (Calderone mix)","Madonna",2
"Been There","Steve Wariner",2
"Bent (live)","Matchbox Twenty",2
"Better Days (And The Bottom Drops Out)","Citizen King",2
"Better Than Me","Terry Dexter",2
"Big Chips","R. Kelly & JAY‐Z",2
"Big Pimpin’","JAY‐Z featuring UGK",2
"Big Star","Kenny Chesney",2
"Bizounce (G Rated)","Olivia",2
"Black Balloon (radio remix)","Goo Goo Dolls",2
"Blowin' Me Up (With Her Love)","JC Chasez",2
"Blowin’ Me Up (With Her Love)","JC Chasez",2
"Blue Monday (DJ Dan remix)","Orgy",2
"Blue Monday (Optical vocal mix)","Orgy",2
"Bootylicious (Rockwilder remix)","Destiny’s Child",2
"Boulevard Of Broken Dreams","Green Day",2
"Bounce (Kayrob radio mix)","Sarah Connor",2
"Bounce With Me","Bow Wow feat. Xscape",2
"Bouncing Off the Ceiling (Upside Down)","A★Teens",2
"Bow Wow","Bow Wow",2
"Break Down Here","Julie Roberts",2
"Break You Off","Black Thought & Musiq",2
"Break You Off","The Roots feat. Musiq",2
"Breathe (Hex Hector radio edit #1)","Faith Hill",2
"Breathe (Pop version)","Faith Hill",2
"Breathe (radio version)","Faith Hill",2
"Breathe and Stop (instrumental)","Q‐Tip",2
"Bug a Boo (a cappella)","Destiny’s Child",2
"Bug a Boo (album version)","Destiny’s Child",2
"Bump Bump Bump","B2K feat. P. Diddy",2
"Bump, Bump, Bump (Jiggy Joint club remix)","B2K feat. P. Diddy",2
"Bump, Bump, Bump (Jiggy Joint radio remix)","B2K feat. P. Diddy",2
"Bump, Bump, Bump (radio edit)","B2K feat. P. Diddy",2
"But for the Grace of God","Keith Urban",2
"Butterfly (remix)","Crazy Town",2
"Buy Me a Rose","Kenny Rogers with Alison Krauss & Billy Dean",2
"C’est la vie (K‐Klass Epic Klub remix)","B*Witched",2
"Call Me (P. Diddy remix)","Tweet",2
"Call My Name","Prince",2
"Can't Stay","Dave Hollister",2
"Can’t Fight the Moonlight (Latino mix)","LeAnn Rimes",2
"Can’t Stop Won’t Stop","Young Gunz",2
"Can’t Stop, Won’t Stop","Young Gunz",2
"Candy (Hex Hector mix)","Mandy Moore",2
"Candy (Santana radio)","Mandy Moore",2
"Candy (Wade Robson remix)","Mandy Moore",2
"Case Of The Ex","Mýa",2
"Celebrity Skin (live)","Hole",2
"Ch‐Check It Out","Beastie Boys",2
"Change the Game (remix)","Tha Dogg Pound feat. Jay‐Z, Beanie Sigel & Memphis Bleek",2
"Chickenhead","Project Pat",2
"Clubbin'","Marques Houston feat. Joe Budden & Pied Piper",2
"Cold Hard Bitch (live)","Jet",2
"Come Clean (acoustic version)","Hilary Duff",2
"Come Clean (rhythmic mix)","Hilary Duff",2
"Come On Over","Shania Twain",2
"Come On Over Baby","Christina Aguilera",2
"Confessions Part II","Usher",2
"Control (live)","Puddle of Mudd",2
"Cop That Sh*!","Timbaland & Magoo feat. Missy Elliott",2
"Could I Have This Kiss Forever","Enrique Iglesias",2
"Country Grammar (Hot Shit)","Nelly",2
"Country Grammar (Hot...)","Nelly",2
"Cowboys Like Us","George Strait",2
"Crazy","Britney Spears",2
"Crazy for This Girl (acoustic version)","Evan and Jaron",2
"Crazy for This Girl (album version)","Evan and Jaron",2
"Crazy in Love","Beyoncé feat. Jay-Z",2
"Culo (Miami mix)","Pitbull feat. Mr. Vegas & Lil Jon",2
"Daddy Won't Sell the Farm","Montgomery Gentry",2
"Dance With Me (Boom Boom remix)","Debelah Morgan",2
"Dance With Me (Soul Central mix)","Debelah Morgan",2
"Dance With My Father","Luther Vandross",2
"Danger (Been So long)","Mystikal feat. Nivea",2
"Desert Rose","Sting feat. Cheb Mami",2
"Did You Ever Think (album version)","R. Kelly",2
"Diddy","P. Diddy feat. The Neptunes",2
"Die Another Day (Deepsky mix)","Madonna",2
"Die Another Day (radio edit)","Madonna",2
"Die Another Day (Thee RetroLectro mix)","Madonna",2
"Die Another Day (Thunderpuss club mix)","Madonna",2
"Dilemma","Nelly featuring Kelly Rowland",2
"Dirt Off Your Shoulder","JAY‐Z",2
"Dirt Off Your Shoulder","Jay Z",2
"Disco Inferno (a cappella)","50 Cent",2
"Disease (acoustic)","Matchbox Twenty",2
"Do It Again (Put Ya Hands Up)","JAY‐Z featuring Beanie Sigel and Amil",2
"Do What You Gotta Do","Garth Brooks",2
"Don't Happen Twice","Kenny Chesney",2
"Don't Take Your Love Away","Avant",2
"Don't Tell Me (Vission radio mix)","Madonna",2
"Don't Think I'm Not (Hip Hop remix)","Kandi",2
"Don't Think I'm Not (radio edit)","Kandi",2
"Don’t Let Me Get Me (John Shanks remix)","P!nk",2
"Don’t Let Me Get Me (radio mix)","P!nk",2
"Don’t Say Goodbye","Paulina Rubio",2
"Don’t Wanna Try","Frankie J",2
"Don’t You Forget It (DJ Clue remix)","Glenn Lewis",2
"Dontchange","Musiq",2
"Doo Wop (That Thing) (instrumental)","Lauryn Hill",2
"Drop It Like It's Hot","Snoop Dogg feat. Pharrell",2
"Drop It Like It’s Hot","Snoop Dogg feat. Pharrell",2
"Drop It Like It’s Hot","Snoop Dogg featuring Pharrell",2
"Drowning","Backstreet Boys",2
"E.I","Nelly",2
"Electrical Storm (Ulrick mix)","U2",2
"Electrical Storm (William Orbit mix)","U2",2
"Emotion (remix)","Destiny’s Child",2
"Emotion (The Neptunes remix)","Destiny’s Child",2
"Escape (Giorgio Moroder & Fernando Garibay club mix)","Enrique Iglesias",2
"Escape (StoneBridge radio mix)","Enrique Iglesias",2
"Every Other Time","LFO",2
"Everybody's Free (To Wear Sunscreen)","Baz Luhrmann",2
"Everybody’s Free (to Wear Sunscreen)","Baz Luhrmann",2
"Everyone Falls in Love","Devonte",2
"Everyone Falls in Love (Masterstepz vocal)","Tanto Metro & Devonte",2
"Ex-Factor","Nina Simone & Lauryn Hill",2
"Ex‐Factor","Lauryn Hill",2
"F.U.R.B. (F U Right Back)","Frankee",2
"Fabulous","Jaheim feat. Tha Rayne",2
"Faded Pictures","Case feat. Joe",2
"Fallin","Alicia Keys",2
"Fatty Girl","Ludacris, LL Cool J & Keith Murray",2
"Feel It Boy (radio edit)","Beenie Man feat. Janet",2
"Feelin' on Yo Booty (Hypnosis mix)","R. Kelly",2
"Feelin’ Way Too Damn Good","Nickelback",2
"Feels Like Today","Rascal Flatts",2
"Fiesta","R. Kelly feat. JAY‐Z",2
"Flipside","Freeway feat. Peedi Crakk",2
"For a Little While","Tim McGraw",2
"For All Time","Soluna",2
"For You I Will","Aaron Tippin",2
"Forgive","Rebecca Lynn Howard",2
"Freakin' It (House mix)","Will Smith",2
"Free","Mýa",2
"Free (Howard & Cross version)","Mýa",2
"Free (Ricco version)","Mýa",2
"Frontin’","Pharrell featuring Jay‐Z",2
"Full Moon (Rascal dub)","Brandy",2
"Gangsta Lovin’","Eve feat. Alicia Keys",2
"Gasolina (Dirty South remix)","Daddy Yankee",2
"Getting Away With Murder (2020)","Papa Roach",2
"Ghetto Cowboy","Bone Thugs‐n‐Harmony",2
"Girl Next Door","Musiq Soulchild feat. Ayana",2
"Girl on TV","LFO",2
"Girl Talk (radio mix)","TLC",2
"Girlfriend (Pied Piper remix)","B2K",2
"Girlfriend (remix)","B2K",2
"Girlfriend/Boyfriend","Blackstreet feat. Janet",2
"Girls Dem Sugar","Beenie Man feat. Mýa",2
"Girls Dem Sugar (radio edit)","Beenie Man feat. Mýa",2
"Girls, Girls, Girls (remix)","Jay‐Z",2
"Give a Little Bit","The Goo Goo Dolls",2
"God Bless The USA","Lee Greenwood",2
"Gone Crazy","Alan Jackson",2
"Grown Men Don’t Cry","Tim McGraw",2
"Hanging By A Moment","Lifehouse",2
"Hanging by a Moment (acoustic version)","Lifehouse",2
"Harmless","Mulberry Lane",2
"Have You Forgotten","Darryl Worley",2
"He Can’t Love U","Jagged Edge",2
"He Didn't Have to Be","Brad Paisley",2
"He Didn’t Have to Be","Brad Paisley",2
"He Loves U Not","Dream",2
"He Loves U Not (HQ2 mix)","Dream",2
"Headstrong (acoustic version)","Trapt",2
"Headstrong (live)","Trapt",2
"Heartbreak Hotel (original radio mix)","Whitney Houston feat. Faith Evans & Kelly Price",2
"Hell Yeah","Ginuwine feat. Baby",2
"Hello L.O.V.E.","John Michael Montgomery",2
"Help Pour Out The Rain","Buddy Jewell",2
"Hemorrhage (in My Hands)","Fuel",2
"Here to Stay (BT’s Managed Anger mix)","Korn",2
"Here to Stay (T Ray’s mix)","Korn",2
"Here’s to the Night","Eve 6",2
"Hey Now (Mean Muggin)","Xzibit feat. Keri Hilson",2
"Hit 'em Up Style","Blu Cantrell",2
"Hit 'Em Up Style (Oops!)","Blu Cantrell",2
"Hit ’Em Up Style (Oops!)","Blu Cantrell",2
"Hole In The Head","Sugababes",2
"Hole in the Head (Full Intention mix)","Sugababes",2
"Holla, Holla","Ja Rule",2
"Hooch (collector's version)","Everything",2
"Hotel","Cassidy feat. R Kelly",2
"How Come You Don't Call Me (remix)","Alicia Keys",2
"How Deep Is Your Love (explicit version)","Dru Hill feat. Redman",2
"How Deep Is Your Love (single version)","Dru Hill feat. Redman",2
"How Do You Like Me Now?","Toby Keith",2
"How Do You Like Me Now?!","Toby Keith",2
"How Far","Martina McBride",2
"How Forever Feels","Kenny Chesney",2
"How Many Licks?","Lil’ Kim feat. Sisqó",2
"I'll Be Your Everything","Youngstown",2
"I'm A Slave 4 U","Britney Spears",2
"I'm Glad (album version)","Jennifer Lopez",2
"I'm Still in Love With You (7"" radio edit)","Sean Paul feat. Sasha",2
"I'm Tryin'","Trace Adkins",2
"I Belong To You","Lenny Kravitz",2
"I Can't Wait","Sleepy Brown feat. OutKast",2
"I Can (a cappella)","Nas",2
"I Can (clean version)","Nas",2
"I Don't Wanna Know","Mario Winans feat. P. Diddy",2
"I Don't Want to Miss a Thing","Mark Chesnutt",2
"I Don't Want To Miss A Thing","Mark Chesnutt",2
"I Don’t Wanna","Aaliyah",2
"I Don’t Wanna Know","Mario Winans featuring Enya & P. Diddy",2
"I Got a Feelin'","Billy Currington",2
"I Got A Feelin'","Billy Currington",2
"I Hate Everything","George Strait",2
"I Hope You Dance (UK pop version)","Lee Ann Womack",2
"I Knew I Loved You (live)","Savage Garden",2
"I Learned From the Best (radio edit)","Whitney Houston",2
"I Like It (remix edit)","Sammie",2
"I Like It (remix)","Sammie",2
"I Lost It","Kenny Chesney",2
"I Love You","Faith Hill",2
"I Love You (radio edit)","Dru Hill",2
"I Should Be","Dru Hill",2
"I Should Be…","Dru Hill",2
"I Still Believe (The Kings Mix)","Mariah Carey",2
"I Turn to You (radio edit)","Christina Aguilera",2
"I Wanna Love You Forever (edit)","Jessica Simpson",2
"I Wanna Love You Forever (Soul Solution mix)","Jessica Simpson",2
"I Want You","Thalía feat. Fat Joe",2
"I Will Go With You (Con te partiro)","Donna Summer",2
"I Will Go With You (Con Te Partiro) (Club 69 future mix)","Donna Summer",2
"I Will Go With You (Con te partirò) (radio edit)","Donna Summer",2
"I Will…But","SHeDAISY",2
"I Would've Loved You Anyway","Trisha Yearwood",2
"I Would’ve Loved You Anyway","Trisha Yearwood",2
"I’d Rather","Luther Vandross",2
"I’ll Still Love You More","Trisha Yearwood",2
"I’ll Think of a Reason Later","Lee Ann Womack",2
"I’m a Believer","Smash Mouth",2
"I’m Already Taken","Steve Wariner",2
"I’m Already There","Lonestar",2
"I’m Gonna Be Alright","Jennifer Lopez feat. Nas",2
"I’m Gonna Miss Her","Brad Paisley",2
"I’m Real","Ja Rule",2
"I’m Real (remix)","Jennifer Lopez feat. Ja Rule",2
"If I Could Turn Back The Hands Of Time","R. Kelly",2
"If I Fall You’re Going Down With Me","Dixie Chicks",2
"If You (Lovin' Me)","Silk",2
"In Da Club","50 Cent",2
"In My Daughter's Eyes","Martina McBride",2
"In My Daughter’s Eyes","Martina McBride",2
"In My Life","Juvenile feat. Mannie Fresh",2
"Inside Out (live on-air acoustic)","Eve 6",2
"Invisible","Clay Aiken",2
"Iris (acoustic)","Goo Goo Dolls",2
"It's Five O'Clock Somewhere","Jimmy Buffett",2
"It's My Life (Chocolate O'Brian remix)","No Doubt",2
"It's Over Now","112",2
"It Wasn’t Me (Crash & Burn remix)","Shaggy feat. Ricardo “Rik Rok” Ducent",2
"It’s All About You","Tracie Spencer",2
"It’s All About You (Not About Me)","Tracie Spencer",2
"It’s Not Right, but It’s Okay","Whitney Houston",2
"It’s Over Now","Deborah Cox",2
"Izzo","Jay‐Z",2
"Jaded (acoustic mix)","Aerosmith",2
"Jamboree","Naughty by Nature feat. Zhané",2
"Jook Gal (remix)","Elephant Man",2
"Just a Baby Boy","Tyrese feat. Snoop Dogg & Mr. Tan",2
"Just Be A Man About It","Toni Braxton",2
"Just Let Me Be in Love","Tracy Byrd",2
"Just Lose It (instrumental)","Eminem",2
"Just the Two of Us","Brian Smith",2
"King Of The Dancehall","Beenie Man",2
"L.A. Song (Out of This Town)","Beth Hart",2
"La Bomba","Azul Azul",2
"Larger Than Life (live)","Backstreet Boys",2
"Larger Than Life (Wayne G remix)","Backstreet Boys",2
"Last One Standing","Emerson Drive",2
"Last Resort (2020)","Papa Roach",2
"Last Train Home (acoustic)","Lostprophets",2
"Last Train Home (demo version)","Lostprophets",2
"Lay Low","Snoop Dogg feat. Master P, Nate Dogg, Butch Cassidy & Tha Eastsidaz",2
"Lean On Me (With The Family)","2–4 Family",2
"Learn To Fly","Foo Fighters",2
"Leave (Get Out) (dance mix)","JoJo",2
"Left & Right","D’Angelo featuring Method Man and Redman",2
"Lesson in Leavin'","Jo Dee Messina",2
"Lesson In Leavin'","Jo Dee Messina",2
"Let's Be Us Again","Lonestar",2
"Let's Get Dirty","Redman feat. DJ Kool",2
"Let's Get Dirty (I Can't Get in da club)","Redman feat. DJ Kool",2
"Let's Get It","Three The… feat. G. Dep, P. Diddy & Black Rob",2
"Let Me Blow Ya Mind","Eve & Gwen Stefani",2
"Let’s Get Dirty (I Can’t Get in da club)","Redman feat. DJ Kool",2
"Let’s Get Dirty (I Can’t Get in Da Club)","Redman feat. DJ Kool",2
"Letters From Home","John Michael Montgomery",2
"Lights, Camera, Action","Mr Cheeks",2
"Like I Love You (instrumental)","Justin Timberlake",2
"Like Wow!","Leslie Carter",2
"Liquid Dreams (Matrix mix)","O‐Town",2
"Live, Laugh, Love","Clay Walker",2
"Livin' la vida loca","Ricky Martin",2
"Livin' la Vida Loca","Ricky Martin",2
"Look at Us (Almighty remix)","Sarina Paris",2
"LOOK AT US (Daddy DJ Remix)","SARINA PARIS",2
"Lose Yourself (instrumental)","Eminem",2
"Lose Yourself (soundtrack version)","Eminem",2
"Loser (acoustic)","3 Doors Down",2
"Lost in You","Garth Brooks as Chris Gaines",2
"Love At First Sight","Kylie Minogue",2
"Love Me","112 feat. Mase",2
"Love Me Right (Oh Sheila) (extended mix)","Angel City feat. Lara McAllen",2
"Love of My Life (An Ode to Hip Hop)","Erykah Badu & Common",2
"Love’s Divine (5.1 mix)","Seal",2
"Lovers and Friends","Lil Jon & The East Side Boyz feat. Usher & Ludacris",2
"Lucky 4 You (Tonight I’m Just Me)","SHeDAISY",2
"Luv U Better (instrumental)","LL Cool J",2
"Luv U Better (radio edit)","LL Cool J",2
"Ma I Don't Love Her","Clipse feat. Faith Evans",2
"Ma, I Don't Love Her","Clipse feat. Faith Evans",2
"Makin' Good Love","Avant",2
"Malibu (album version)","Hole",2
"Mambo No. 5 (A Little Bit of...)","Lou Bega",2
"Man I Feel Like a Woman","Shania Twain",2
"Man to Man","Gary Allan",2
"Mayberry","Rascal Flatts",2
"Me Against the Music","Madonna",2
"Meanwhile Back at the Ranch","The Clark Family Experience",2
"Mirror Mirror (power dance mix)","M2M",2
"Missing You","Brooks & Dunn",2
"Monica","Before Dark",2
"More","Trace Adkins",2
"More Than a Woman (MAW edit)","Aaliyah",2
"More to Life","Stacie Orrico",2
"Mrs. Steven Rudy","Mark McGuinn",2
"Ms Jackson","OutKast",2
"My Baby","Bow Wow feat. Jagged Edge",2
"My Favorite Girl","Dave Hollister",2
"My Love Is Like...Wo","Mýa",2
"My Way (Enhanced Video)","Limp Bizkit",2
"My Way (The P. Diddy Remix)","Limp Bizkit",2
"Naggin’","Ying Yang Twins",2
"Nas Is Like (main)","Nas",2
"Never Leave You - Uh Ooh, Uh Oooh! (main)","Lumidee",2
"Never Let You Go (radio version)","Third Eye Blind",2
"New Day","Patti LaBelle",2
"No Matta What (Party All Night)","Toya",2
"No me dejes de querer (unplugged)","Gloria Estefan",2
"No Mercy","Ty Herndon",2
"No More Rain (Wookie vocal mix)","Angie Stone",2
"No Problem","Lil Scrappy",2
"Nobody's Supposed To Be Here","Deborah Cox",2
"Nobody Wants to Be Lonely","Ricky Martin & Christina Aguilera",2
"Nolia Clap","Juvenile, Wacko & Skip",2
"Not Today","Mary J. Blige featuring Eve",2
"Nothing in This World","Keke Wyatt feat. Avant",2
"Nothing Really Matters (Vikram remix)","Madonna",2
"Numb/Encore","Linkin Park",2
"Numb/Encore (radio edit)","Jay‐Z & Linkin Park",2
"Objection (Tango) (Afro-Punk version)","Shakira",2
"Officially Missing You (radio version)","Tamia",2
"Oh No (DJ Hype remix)","Mos Def & Pharoahe Monch feat. Nate Dogg",2
"Okay","Nivea feat. Lil Jon & YoungBloodZ",2
"On a Night Like This","Trick Pony",2
"On Fire (instrumental)","Lloyd Banks",2
"On the Way Down (acoustic version)","Ryan Cabrera",2
"One More Chance","Janet Jackson",2
"One More Chance (Metro remix)","Michael Jackson",2
"One More Chance (Paul Oakenfold mix)","Michael Jackson",2
"One More Try","Divine",2
"Only U (Kelly G's club mix)","Ashanti",2
"Oochie Wally","QB Finest feat. Bravehearts",2
"Oochie Wally (remix)","Nas & Bravehearts",2
"Out Of My Head","Fastball",2
"Outrageous (Junkie XL's Dancehall mix)","Britney Spears",2
"Over and Over (Moox Suit mix)","Nelly feat. Tim McGraw",2
"Overprotected (Darkchild remix)","Britney Spears",2
"Oye mi canto","N.O.R.E. feat. Daddy Yankee, Nina Sky, Gem Star & Big Mato",2
